"name","geo","cname","region","EQIregionN2","eqi21_n2","eqi21_n2_lowME","eqi21_n2_highME","qualityp21_n2","impartialityp21_n2","corruptionp21_n2","accesInternetMenage","chomage_jeunes","coutTravail","crime_cambriolage","crime_homicide_intentionnel","crime_vol_qualifie","crime_vol_vehicule","dureeMoySejHopitaux","jeuneSansEmploiFormation","mort_infantile","NbLitHopitaux","nbPop_1erJanv","pauvreteExclusion","persSantePour1000Habs","pib_par_reg","pop_densite","popNivParEtude20_24","popNivParEtude25_64","tauxChomage","tauxmort_infantile","tauxRisquePauvrete","pib_hab","log_pib_hab","lit_hop_par_hab","cluster"
"Jadranska Hrvatska","HR03","Croatia","Europe du Sud",1601,-0.94,-1.374772,-0.505228,-1.272,-0.844,-0.599,73.49,19.6,NA,NA,NA,NA,NA,8.5,20.1,52,NA,1369176,24,326.54,15410.39,56,3.3,10.6,9.5,3.8,18.1,2751.85535714286,7.92003063849421,NA,"2"
"Jihovýchod","CZ06","Czech Republic","Europe de l'Est",1906,-0.34,-0.545959,-0.134041,-0.326,-0.115,-0.54,84.64,4.5,NA,1330,15,434,821,10.1,8.7,38,NA,1704179,11.5,433.42,31789.27,124,7.8,4.1,2.4,2.4,7.2,2563.65080645161,7.84918761783423,NA,"4"
"Jihozápad","CZ03","Czech Republic","Europe de l'Est",1903,-0.446,-0.655646,-0.236354,-0.414,-0.217,-0.658,82.5,3.7,NA,778,10,411,1058,11.3,9.1,36,NA,1234592,8.4,381.61,20977.47,71.8,13.2,6.7,2.4,2.3,7.4,2921.65320334262,7.97990490057939,NA,"2"
"Karlsruhe","DE12","Germany","Europe de l'Ouest",122,0.947,0.750786,1.143214,1.078,0.61,1.048,NA,5.7,NA,NA,NA,NA,NA,NA,7.7,84,NA,2807601,NA,NA,123716.76,409.3,22.2,17.1,3.3,NA,NA,3022.64256046909,8.01388674778495,NA,"4"
"Kärnten","AT21","Austria","Europe de l'Ouest",404,0.747,0.590955,0.903045,0.51,1.073,0.576,85.5,8.9,NA,507,3,90,180,NA,8.7,10,NA,562089,NA,494.57,20697.06,59.9,NA,10.4,5.6,1.3,NA,3455.26878130217,8.14765552805352,NA,"2"
"Kassel","DE73","Germany","Europe de l'Ouest",143,0.976,0.80436,1.14764,0.855,0.846,1.118,NA,NA,NA,NA,NA,NA,NA,NA,7.1,33,NA,1217796,NA,NA,44268.66,147.5,28.6,16.3,2.9,NA,NA,3001.26508474576,8.00678917367719,NA,"2"
"Kentriki Makedonia","EL52","Greece","Europe du Sud",2106,-1.222,-1.61927,-0.82473,-1.189,-1.333,-1.008,NA,28.9,NA,NA,NA,NA,NA,NA,20,63,NA,1858755,31.5,615.72,22701.5,101.2,3.3,19.6,16.1,3.1,25.5,2243.23122529644,7.71567261672219,NA,"4"
"Koblenz","DEB1","Germany","Europe de l'Ouest",171,1.119,0.939022,1.298978,1.025,0.891,1.318,NA,NA,NA,NA,NA,NA,NA,NA,9.7,43,NA,1500830,NA,NA,50571.38,186.7,25.1,17.7,2.9,NA,NA,2708.69737546867,7.90422312505453,NA,"4"
"Köln","DEA2","Germany","Europe de l'Ouest",162,0.728,0.515312,0.940688,0.592,0.747,0.765,NA,7,NA,NA,NA,NA,NA,NA,8.6,155,NA,4475530,NA,NA,193314.71,613.4,20.8,18.5,4,NA,NA,3151.52771437887,8.05564260294238,NA,"3"
"Kontinentalna Hrvatska","HR04","Croatia","Europe du Sud",1602,-1.421,-1.844935,-0.997065,-1.302,-1.319,-1.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Közép-Dunántúl","HU21","Hungary","Europe de l'Est",1403,-1.198,-1.595041,-0.800959,-1.598,-0.863,-1.002,85.3,4.9,NA,1453,11,315,570,NA,10.9,34,NA,1059586,13.2,222.29,13464.14,99.1,13.9,13.4,2.1,4,5.5,1358.64177598385,7.21424078557332,NA,"2"
"Kriti","EL43","Greece","Europe du Sud",2104,-1.323,-1.684492,-0.961508,-0.611,-1.601,-1.61,NA,30,NA,NA,NA,NA,NA,NA,19.1,23,NA,636766,27.3,593.24,8186.87,76.5,NA,27.1,16.3,2.3,14.9,1070.17908496732,6.97558128257964,NA,"2"
"Kujawsko-Pomorskie","PL61","Poland","Europe de l'Est",608,-0.814,-1.02702,-0.60098,-0.85,-0.841,-0.661,NA,9.8,NA,2130,17,762,823,NA,14.9,91,NA,2041485,20.3,NA,23025.59,116.8,NA,8,4.4,4,20.4,1971.36900684932,7.58648350771652,NA,"4"
"La Réunion","FRY4","France","Europe de l'Ouest",1826,0.057,-0.28443,0.39843,0.182,0.163,-0.181,65.4,34.1,NA,NA,NA,NA,NA,7.3,30.8,93,NA,866181,NA,340.78,19151,345.7,18.7,39.2,17.9,6.4,NA,553.977437084177,6.31712395863303,NA,"2"
"La Rioja","ES23","Spain","Europe du Sud",506,0.758,0.472894,1.043106,1.344,0.567,0.279,81,24.5,NA,489,2,220,165,9,13.8,5,NA,316176,19,326.97,8128.78,62.6,18.4,35.9,11.5,2.6,16.1,1298.52715654952,7.16898594466888,NA,"2"
"Languedoc-Roussillon","FRJ1","France","Europe de l'Ouest",1817,0.241,0.001244,0.480756,0.176,0.268,0.251,84.33,22.5,NA,NA,NA,NA,NA,9.5,16.9,82,NA,2893969,NA,366.87,74007.65,104.4,14.7,19.9,11.4,3.1,NA,7088.85536398467,8.86627916276702,NA,"4"
"Länsi-Suomi","FI19","Finland","Europe du Nord",801,1.31,1.103556,1.516444,1.234,1.368,1.184,93.24,13.9,NA,1678,26,261,1837,NA,10.9,30,NA,1378851,NA,NA,52234.62,23.7,9.8,9.5,7.7,1.8,NA,22039.9240506329,10.0006108172824,NA,"2"
"Latvia","LV","Latvia","LV",2401,-0.434,-0.628986,-0.239014,-0.35,-0.168,-0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazio","ITI4","Italy","Europe du Sud",313,-1.351,-1.612444,-1.089556,-1.232,-1.383,-1.289,82.14,26.1,NA,NA,NA,NA,NA,8.6,21.7,129,NA,5730399,26.5,466.89,186298.23,343,12.8,28.7,10,2.3,20.6,5431.43527696793,8.5999587015675,NA,"3"
"Leipzig","DED5","Germany","Europe de l'Ouest",183,0.854,0.645682,1.062318,0.687,0.625,1.155,NA,NA,NA,NA,NA,NA,NA,NA,9.6,26,NA,1053323,NA,NA,34966.44,268.4,NA,7.3,4.5,NA,NA,1302.77347242921,7.17225071122763,NA,"2"
"Liège","BE33","Belgium","Europe de l'Ouest",1123,0.154,-0.077615,0.385615,-0.095,0.117,0.423,84.57,18.4,NA,8696,28,2907,3223,6.5,16,34,6308,1113324,NA,364.92,30963.63,289.7,13.9,20.8,9.4,2.6,NA,1068.81705212289,6.9743077571114,21.7742492233345,"2"
"Liguria","ITC3","Italy","Europe du Sud",303,-0.757,-0.955282,-0.558718,-0.611,-0.947,-0.629,84.04,22.5,NA,4519,21,1224,5176,9.3,20.9,23,NA,1518495,21.2,453.95,46093.2,284.3,17.7,31,8.4,2.1,17.8,1621.28737249384,7.39097578701884,NA,"4"
"Limburg (BE)","BE22","Belgium","Europe de l'Ouest",1112,0.739,0.451199,1.026801,0.443,0.92,0.771,89.86,6.6,NA,3092,11,566,944,5.5,9,19,4212,883228,NA,262.66,28073.23,367.5,8.9,17.2,3.4,3.6,NA,763.897414965986,6.63843350654628,11.4612244897959,"2"
"Limburg (NL)","NL42","Netherlands","Europe de l'Ouest",1312,1.197,1.014582,1.379418,1.179,0.954,1.324,99.35,6.4,NA,6810,NA,519,1737,4.9,5.2,29,NA,1115872,15.2,362.07,45192.14,517.7,17,20.5,3.8,3.5,13.7,872.940699246668,6.77186762597992,NA,"2"
"Limousin","FRI2","France","Europe de l'Ouest",1815,0.586,0.34909,0.82291,0.442,0.573,0.677,81.5,11.4,NA,NA,NA,NA,NA,9,7.9,27,NA,724279,NA,331.01,18084.61,42.9,NA,15.7,6.3,2.9,NA,4215.52680652681,8.34652984638101,NA,"2"
"Lódzkie","PL71","Poland","Europe de l'Est",611,-0.982,-1.191332,-0.772668,-1.085,-0.918,-0.834,NA,9.7,NA,NA,NA,NA,NA,NA,10.6,101,NA,2425669,17,NA,32428.93,135.2,11.1,9.6,4.4,3.1,14.4,2398.58949704142,7.782636134001,NA,"4"
"Lombardia","ITC4","Italy","Europe du Sud",204,-0.944,-1.138516,-0.749484,-0.336,-1.356,-1.035,84.48,14.8,NA,41560,66,7594,34042,9,15.9,216,NA,9981554,16.1,367.49,365514.76,435.8,14.6,35.1,5.9,2.3,12.3,8387.2134006425,9.03446361087706,NA,"1"
"Lorraine","FRF3","France","Europe de l'Ouest",1811,0.392,0.206338,0.577662,0.362,0.476,0.294,87.31,16.8,NA,NA,NA,NA,NA,8.4,14.5,87,NA,2317598,NA,303.02,56551.79,98.6,8.4,20.7,8.5,3.5,NA,5735.47565922921,8.65442596583283,NA,"4"
"Lubelskie","PL81","Poland","Europe de l'Est",613,-1.236,-1.524496,-0.947504,-1.215,-1.624,-0.732,NA,10.7,NA,NA,NA,NA,NA,NA,17.2,80,NA,2074508,26.6,NA,19558.66,84,11.3,8,5.2,3.9,22.9,2328.4119047619,7.75294172823535,NA,"4"
"Lubuskie","PL43","Poland","Europe de l'Est",605,-0.681,-0.956968,-0.405032,-0.729,-0.889,-0.35,NA,NA,NA,1072,14,410,465,NA,16.6,48,NA,996912,15.5,NA,11230.51,72.6,NA,6.6,NA,3.1,12.8,1546.90220385675,7.34400963193405,NA,NA
"Lüneburg","DE93","Germany","Europe de l'Ouest",153,1.254,1.056245,1.451755,0.91,1.335,1.377,NA,NA,NA,NA,NA,NA,NA,NA,9.3,60,NA,1722474,NA,NA,49233.18,111.4,30.4,16.8,3,NA,NA,4419.49551166966,8.39378083092625,NA,"4"
"Luxembourg","LU","Luxembourg","LU",2201,1.159,0.977631,1.340369,1.031,1.044,1.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg (BE)","BE34","Belgium","Europe de l'Ouest",1124,0.513,0.338499,0.687501,-0.074,0.655,0.901,84.54,10.1,NA,1219,6,228,413,6,10.2,8,1168,291730,NA,239.64,6945.87,64.6,13.8,17.7,5.6,4.1,NA,1075.21207430341,6.98027319952671,18.0804953560372,"2"
"Malopolskie","PL21","Poland","Europe de l'Est",601,-0.839,-1.063278,-0.614722,-0.603,-1.05,-0.771,NA,6.7,NA,2921,24,2330,1032,NA,11.2,120,NA,3372763,15.5,NA,42605.22,224,NA,6.8,3.2,3.5,14.9,1902.01875,7.55067110110091,NA,"3"
"Malta","MT","Malta","MT",2701,-0.528,-1.062662,0.0066619999999999,-0.225,-0.261,-1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marche","ITI3","Italy","Europe du Sud",312,-0.882,-1.17298,-0.59102,-0.727,-1.109,-0.713,84.98,17,NA,NA,NA,NA,NA,8.2,19,27,NA,1498236,18.3,374.7,39663.69,161.9,12.6,34,7.1,1.4,8,2449.88820259419,7.80379767090341,NA,"4"
"Martinique","FRY2","France","Europe de l'Ouest",1824,-0.428,-0.854561,-0.001439,-1.204,-0.306,0.273,74.72,31,NA,NA,NA,NA,NA,9.9,25.9,34,NA,356029,NA,307.65,8856,328.6,NA,29.2,12.8,5.7,NA,269.506999391357,5.59659436177935,NA,"2"
"Mayotte","FRY5","France","Europe de l'Ouest",1827,-1.348,-1.718497,-0.977503,-2.524,-0.46,-0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazowiecki regionalny","PL92","Poland","Europe de l'Est",619,-0.877,-1.102463,-0.651537,-0.841,-1.046,-0.646,NA,7.9,NA,NA,NA,NA,NA,NA,14,93,NA,2306192,23.7,NA,27107.72,79.5,8.3,7.8,3.8,3.8,20.7,3409.77610062893,8.13440190848226,NA,"4"
"Mellersta Norrland","SE32","Sweden","Europe du Nord",707,1.099,0.849956,1.348044,0.993,1.345,0.837,100,13.1,NA,407,6,121,1133,NA,7.4,6,NA,375709,22,NA,14515.82,5.3,24.5,9.3,6.3,2.5,19.5,27388.3396226415,10.2178726405818,NA,"2"
"Midi-Pyrénées","FRJ2","France","Europe de l'Ouest",1818,0.584,0.325695,0.842305,0.649,0.544,0.494,87.79,11.9,NA,NA,NA,NA,NA,9.1,10.2,97,NA,3119320,NA,341.39,94727.48,67.8,7.6,13.2,6.1,3.5,NA,13971.604719764,9.54478231464219,NA,"4"
"Midtjylland","DK04","Denmark","Europe du Nord",904,1.59,1.490951,1.689049,1.691,1.351,1.551,96.35,9.9,NA,8379,11,1799,4546,NA,10.5,51,2894,1332048,15.9,NA,65329.92,103.7,24.4,17.4,4.8,3.3,11.7,6299.89585342334,8.74828838104034,27.907425265188,"2"
"Mittelfranken","DE25","Germany","Europe de l'Ouest",135,0.843,0.68008,1.00592,1.005,0.65,0.781,NA,7.5,NA,NA,NA,NA,NA,NA,6.7,49,NA,1775704,NA,NA,79555.24,245.7,23.3,14.1,3.6,NA,NA,3237.90150590151,8.08268071558516,NA,"4"
"Molise","ITF2","Italy","Europe du Sud",315,-1.358,-1.531955,-1.184045,-1.469,-1.398,-1.057,78.27,30.7,NA,429,3,48,486,8.2,26.1,5,NA,294294,38.3,402.31,6088.3,68.2,NA,36.9,10.9,2.3,29.3,892.712609970674,6.79426470373882,NA,"2"
"Moravskoslezsko","CZ08","Czech Republic","Europe de l'Est",1908,-0.555,-0.781609,-0.328391,-0.358,-0.316,-0.93,81.44,6.2,NA,987,12,568,917,10.4,11,36,NA,1192834,14.3,374.75,18778.85,226.2,13.8,6.2,4.6,2.8,12.7,830.187886825818,6.72165204484256,NA,"2"
"Münster","DEA3","Germany","Europe de l'Ouest",163,1.206,1.047588,1.364412,1.017,1.154,1.314,NA,5.8,NA,NA,NA,NA,NA,NA,8.4,91,NA,2624719,NA,NA,89380.38,380.1,22.8,17.7,3.4,NA,NA,2351.49644830308,7.76280719098765,NA,"4"
"Namur","BE35","Belgium","Europe de l'Ouest",1125,0.492,0.293487,0.690513,-0.002,0.655,0.769,82.72,15.3,NA,2954,9,619,783,6.1,14.7,15,2554,500489,NA,357.41,13179.42,135.9,14.8,17.2,7.6,2.5,NA,969.788079470199,6.87707757285535,18.7932303164091,"2"
"Niederbayern","DE22","Germany","Europe de l'Ouest",132,1.193,1.052129,1.333871,1.165,1.216,1.065,NA,NA,NA,NA,NA,NA,NA,NA,5.5,37,NA,1247063,NA,NA,48481.7,121,NA,12.3,1.8,NA,NA,4006.7520661157,8.2957362335323,NA,"2"
"Niederösterreich","AT12","Austria","Europe de l'Ouest",402,1.023,0.893877,1.152123,0.81,1.416,0.728,88.86,7.7,NA,2557,11,226,906,NA,7.7,45,NA,1690879,NA,474.03,59524.96,88.9,12.8,12.8,5.1,2.8,NA,6695.72103487064,8.80922394984246,NA,"4"
"Niedersachsen","DE80","Germany","Europe de l'Ouest",109,1.023,0.849235,1.196765,0.727,1.043,1.187,NA,NA,NA,NA,NA,NA,NA,10.3,9.8,40,NA,1610774,NA,NA,46585.14,71.3,22.6,8.9,3.8,NA,NA,6533.68022440393,8.78472565071301,NA,"4"
"Noord-Brabant","NL41","Netherlands","Europe de l'Ouest",1311,1.207,0.992079,1.421921,1.279,0.992,1.215,98.18,5.5,NA,17265,NA,1044,2615,4.7,5.6,70,NA,2573949,13.7,271.02,120733.21,514.8,10.5,19.7,3.2,4.1,12.9,2345.24494949495,7.76014513149983,NA,"4"
"Noord-Holland","NL32","Netherlands","Europe de l'Ouest",1308,0.894,0.607439,1.180561,1.158,0.793,0.631,99.05,7.7,NA,19263,NA,3218,3743,4.5,5.4,107,NA,2888486,17.8,495.43,171052.81,1041.2,10.1,18.2,4.5,3.5,15.3,1642.8429696504,7.40418353808949,NA,"4"
"Nord-Est","RO21","Romania","Europe de l'Est",203,-1.889,-2.277673,-1.500327,-2.06,-1.411,-1.987,69.65,13.4,NA,1646,112,366,123,8.4,12.6,274,NA,3163465,41.4,265.56,22808.31,87.5,17.6,25.3,6.8,5.3,35.6,2606.664,7.86582652185282,NA,"3"
"Nord-Pas-de-Calais","FRE1","France","Europe de l'Ouest",1807,0.284,0.01773,0.55027,0.664,0.268,-0.11,82.65,15.7,NA,NA,NA,NA,NA,7.8,18.9,168,NA,4067882,NA,320.65,113778.25,327.4,12.6,19.6,8.8,3,NA,3475.20616982285,8.15340908568439,NA,"3"
"Nord-Vest","RO11","Romania","Europe de l'Est",201,-1.545,-1.885007,-1.204993,-1.616,-1.449,-1.399,80.82,7.1,NA,1758,35,250,246,7.5,12.9,195,NA,2537017,18.5,343.52,26902.12,75,16.9,16.5,3.1,6.7,14.1,3586.94933333333,8.18505735235121,NA,"4"
"Nordjylland","DK05","Denmark","Europe du Nord",905,1.534,1.394958,1.673042,1.643,1.392,1.396,95.4,10.8,NA,3343,3,593,2167,NA,9.5,19,1220,590439,15.1,NA,26325.02,76.4,22.9,20.4,5,2.1,13.3,3445.6832460733,8.14487749355755,15.9685863874346,"2"
"Norra Mellansverige","SE31","Sweden","Europe du Nord",706,1.191,0.878602,1.503398,0.917,1.191,1.333,88.32,21.3,NA,985,5,385,2867,NA,8.4,28,NA,858063,21.3,NA,31227.57,13.5,21.7,15.4,9.7,1.9,17.5,23131.5333333333,10.0489520450012,NA,"2"
"Norte","PT11","Portugal","Europe du Sud",2001,-0.089,-0.523043,0.345043,0.53,-0.026,-0.761,74.37,15.6,NA,8474,25,4411,7410,NA,10.6,74,NA,3566374,22,561.01,60328.35,169.3,8,45.9,6.6,2.2,21.1,3563.39929119905,8.17847022533843,NA,"3"
"Northern and Western","IE04","Ireland","Europe du Nord",1001,0.409,0.152391,0.665609,0.336,0.559,0.285,NA,10.9,NA,NA,NA,NA,NA,NA,12.3,39,NA,884580,25,NA,26434.08,35,NA,14.2,5.1,3.2,19.6,7552.59428571429,8.92964639722319,NA,"2"
"Notio Aigaio","EL42","Greece","Europe du Sud",2103,-1.387,-1.8438,-0.9302,-0.676,-1.336,-1.996,NA,29.9,NA,NA,NA,NA,NA,NA,25.5,11,NA,347848,30.8,366.32,5449.57,66.1,NA,25.6,18.8,4.1,17.5,824.443267776097,6.71470833159843,NA,"2"
"Nyugat-Dunántúl","HU22","Hungary","Europe de l'Est",1404,-1.248,-1.662276,-0.833724,-1.396,-1.033,-1.177,83.43,4.5,NA,1262,8,188,451,NA,12,31,NA,996876,17.8,252.07,13281.12,88.6,10.9,12,2.2,3.7,10,1498.99774266366,7.31255199220664,NA,"2"
"Oberbayern","DE21","Germany","Europe de l'Ouest",131,1.029,0.856327,1.201673,1.145,0.84,0.989,NA,4.9,NA,NA,NA,NA,NA,NA,5.9,119,NA,4719716,NA,NA,273500.84,273.4,17.3,11.7,2.7,NA,NA,10003.6883686906,9.21070914084164,NA,"3"
"Oberfranken","DE24","Germany","Europe de l'Ouest",134,1.09,0.901315,1.278685,0.946,0.904,1.299,NA,NA,NA,NA,NA,NA,NA,NA,6.6,28,NA,1062085,NA,NA,40736.92,147.8,NA,12,3.3,NA,NA,2756.21921515562,7.92161517002824,NA,"2"
"Oberösterreich","AT31","Austria","Europe de l'Ouest",406,0.846,0.701397,0.990603,0.549,1.288,0.609,88.89,5.7,NA,988,10,293,415,NA,7.4,39,NA,1495608,NA,432,65240.45,126.8,13.7,14.2,3.8,3.6,NA,5145.14589905363,8.54580900531091,NA,"4"
"Oberpfalz","DE23","Germany","Europe de l'Ouest",133,1.093,0.935891,1.250109,1.11,0.914,1.134,NA,NA,NA,NA,NA,NA,NA,NA,5.1,28,NA,1112267,NA,NA,46406.91,115.2,NA,11.1,2.5,NA,NA,4028.37760416667,8.30111899427255,NA,"2"
"Oost-Vlaanderen","BE23","Belgium","Europe de l'Ouest",1113,0.679,0.275555,1.082445,0.451,0.643,0.867,86.02,6.4,NA,5642,8,1488,1520,5.8,8.4,59,9027,1533876,NA,297.55,54758.07,512.3,5.9,13.2,2.8,3.4,NA,1068.86726527425,6.974354736126,17.6205348428655,"4"
"Opolskie","PL52","Poland","Europe de l'Est",607,-0.457,-0.750274,-0.163726,-0.794,-0.442,-0.086,NA,NA,NA,1138,11,250,181,NA,12.9,35,NA,936000,16.3,NA,10534.52,101.4,NA,5.6,2.8,4,10.1,1038.90729783037,6.94592476462624,NA,"2"
"Östra Mellansverige","SE12","Sweden","Europe du Nord",702,1.245,0.967249,1.522751,1.319,1.074,1.205,94.33,20.3,NA,2232,7,1120,5077,NA,7.5,46,NA,1737737,21,NA,66872.3,44.7,15.2,13.9,9.8,3.2,17.2,14960.2460850112,9.61315170092601,NA,"4"
"Overijssel","NL21","Netherlands","Europe de l'Ouest",1304,1.364,1.174006,1.553994,1.272,1.235,1.434,95.99,6.3,NA,4491,NA,275,415,4.3,5.6,41,NA,1166533,14.9,275.38,45697.71,344.9,12.8,20.3,3.8,4.6,13.6,1324.95534937663,7.18913403926884,NA,"2"
"Övre Norrland","SE33","Sweden","Europe du Nord",708,1.51,1.265897,1.754103,1.477,1.328,1.559,96.94,14.7,NA,415,4,189,1217,NA,5.1,15,NA,522806,14.5,NA,23814.19,3.4,15.5,8.4,6.1,1.3,13.3,70041.7352941177,11.1568465618513,NA,"2"
"País Vasco","ES21","Spain","Europe du Sud",504,0.895,0.45997,1.33003,1.006,1.146,0.434,86.78,21.7,NA,4366,10,2791,1179,9.2,9,46,NA,2185908,13.9,560.36,66558.49,303.7,9.4,23.1,9.8,2.6,12.2,2191.58676325321,7.69238110988202,NA,"4"
"Pays-de-la-Loire","FRG0","France","Europe de l'Ouest",1812,0.722,0.520012,0.923988,0.602,0.772,0.713,86.8,12.8,NA,NA,NA,NA,NA,8.6,9,110,NA,3849977,NA,295.72,116152.86,118.3,8.8,14.1,6,2.9,NA,9818.50042265427,9.19202368323701,NA,"3"
"Peloponnisos","EL65","Greece","Europe du Sud",2113,-1.001,-1.348244,-0.653756,-0.499,-1.211,-1.182,NA,28.1,NA,NA,NA,NA,NA,NA,29,13,NA,569345,34,394.83,7652.18,37.1,NA,26.9,12.7,2.5,24.2,2062.58221024259,7.63171397692602,NA,"2"
"Pest","HU12","Hungary","Europe de l'Est",1402,-1.023,-1.500565,-0.545435,-1.381,-0.52,-1.055,NA,6.7,NA,NA,NA,NA,NA,NA,9.3,39,NA,1309802,12.7,235.91,14601.03,205.1,14.2,10.3,3,2.8,9.7,711.898098488542,6.56793478106895,NA,"2"
"Picardie","FRE2","France","Europe de l'Ouest",1808,0.209,-0.020839,0.438839,0.334,0.162,0.107,87.32,19.1,NA,NA,NA,NA,NA,8.7,17.2,82,NA,1926546,NA,255.11,47851.62,99.4,12.9,23,9.7,4,NA,4814.046277666,8.4792932314389,NA,"4"
"Piemonte","ITC1","Italy","Europe du Sud",301,-0.64,-0.804506,-0.475494,-0.36,-0.943,-0.547,82.12,15.9,NA,18620,42,3698,9955,9.4,20,78,NA,4274945,17.3,365.28,126198.79,172.3,14.3,35.8,7.3,2.1,13.7,7324.36390017411,8.89896159054782,NA,"3"
"Podkarpackie","PL82","Poland","Europe de l'Est",614,-0.84,-1.086288,-0.593712,-0.953,-0.959,-0.514,NA,10.9,NA,NA,NA,NA,NA,NA,16.9,81,NA,2078146,22.6,NA,20066.21,117.8,10.2,6.6,4.8,4.3,17.6,1703.41341256367,7.44038940667132,NA,"4"
"Podlaskie","PL84","Poland","Europe de l'Est",615,-1.011,-1.240591,-0.781409,-0.872,-1.239,-0.811,NA,NA,NA,NA,NA,NA,NA,NA,13.1,48,NA,1144005,24.5,NA,11789.97,57.5,NA,8.7,3.2,3.4,19.6,2050.42956521739,7.62580459418966,NA,"2"
"Pohjois- ja Itä-Suomi","FI1D","Finland","Europe du Nord",804,1.508,1.311724,1.704276,1.476,1.48,1.403,92.7,14.2,NA,1712,47,287,2244,NA,12.7,18,NA,1274651,19.3,NA,45776.47,6.3,10.5,10.1,7.8,1.8,13.6,72661.0634920635,11.1935609422228,NA,"2"
"Poitou-Charentes","FRI3","France","Europe de l'Ouest",1816,0.598,0.381118,0.814882,0.435,0.622,0.671,79.74,19.5,NA,NA,NA,NA,NA,8.7,11.9,52,NA,1822237,NA,295.7,50038.5,70,11.9,17.7,8.6,2.5,NA,7148.35714285714,8.87463783905706,NA,"4"
"Pomorskie","PL63","Poland","Europe de l'Est",610,-0.617,-0.962886,-0.271114,-0.865,-0.956,0.038,NA,NA,NA,2620,30,1215,1318,NA,12.6,96,NA,2318867,12.2,NA,30459.84,130.6,11.4,6.5,2.3,4,13.1,2332.30015313936,7.75461024979653,NA,"4"
"Praha","CZ01","Czech Republic","Europe de l'Est",1901,-0.184,-0.48473,0.11673,-0.2,0.368,-0.701,89.31,5.6,NA,2753,16,773,4540,9.4,5.8,27,NA,1335084,8.3,742.52,58038.02,2714.3,2.4,2,2.3,1.8,7.1,213.82315882548,5.36514931276909,NA,"2"
"Principado de Asturias","ES12","Spain","Europe du Sud",502,0.521,0.36711,0.67489,0.481,0.799,0.226,81.26,26.9,NA,770,19,612,665,8.6,16,15,NA,1012889,27.7,418.1,21474.44,96.6,21.1,30.7,12.5,2.9,20.4,2223.02691511387,7.7066250214545,NA,"2"
"Provence-Alpes-Côte d'Azur","FRL0","France","Europe de l'Ouest",1821,0.323,0.107369,0.538631,0.317,0.482,0.134,89.24,14.7,NA,NA,NA,NA,NA,9.7,15.8,192,NA,5116360,NA,404.23,161290.27,162.4,13.4,19.2,8.1,2.6,NA,9931.66687192118,9.20348360517964,NA,"3"
"Puglia","ITF4","Italy","Europe du Sud",317,-1.479,-1.605459,-1.352541,-1.5,-1.56,-1.213,76.19,33.3,NA,9650,64,3428,22047,7.5,33.3,88,NA,3933777,34.8,379.05,71642.78,206.8,21.5,48.3,14.6,2.8,25.4,3464.35106382979,8.15028061091832,NA,"3"
"Região Autónoma da Madeira","PT30","Portugal","Europe du Sud",2007,-0.34,-0.71314,0.03314,0.421,-0.533,-0.87,81.35,21.1,NA,632,4,250,122,NA,14.5,6,NA,253923,32.9,474.72,4461.71,318,NA,49.2,8,3.2,24.2,140.30534591195,4.94382108981763,NA,"2"
"Região Autónoma dos Açores","PT20","Portugal","Europe du Sud",2006,-0.135,-0.401177,0.131177,0.329,-0.13,-0.59,84.2,17.2,NA,776,4,142,142,NA,19.7,6,NA,242201,32.4,376.45,4151.89,105.3,30.8,60.2,7.2,4.8,21.9,394.291547958215,5.97709060509263,NA,"2"
"Region Brussels","BE10","Belgium","Europe de l'Ouest",1101,-0.218,-0.518527,0.082527,-0.29,-0.157,-0.182,85.27,18.3,NA,11606,30,8726,3130,6.7,19.1,56,8619,1226329,NA,398.08,83846.54,7526.7,19.3,24.1,12.4,4.5,NA,111.398806914053,4.71311661750812,1.14512336083543,"2"
"Región de Murcia","ES62","Spain","Europe du Sud",516,-0.161,-0.307276,-0.014724,-0.078,0.265,-0.653,86.02,24.5,NA,4972,15,1581,2393,8.4,17.2,45,NA,1513076,29.7,423.09,29939.55,132.4,27.7,44.4,14.3,2.8,27.7,2261.29531722054,7.72369307729168,NA,"4"
"Rheinhessen-Pfalz","DEB3","Germany","Europe de l'Ouest",173,1.102,0.866988,1.337012,1.02,0.79,1.375,NA,7.3,NA,NA,NA,NA,NA,NA,9.7,69,NA,2063123,NA,NA,76692.25,303.2,22.2,17.5,4.4,NA,NA,2529.42777044855,7.83574837845121,NA,"4"
