"name","geo","cname","region","EQIregionN2","eqi21_n2","eqi21_n2_lowME","eqi21_n2_highME","qualityp21_n2","impartialityp21_n2","corruptionp21_n2","accesInternetMenage","chomage_jeunes","coutTravail","crime_cambriolage","crime_homicide_intentionnel","crime_vol_qualifie","crime_vol_vehicule","dureeMoySejHopitaux","jeuneSansEmploiFormation","mort_infantile","NbLitHopitaux","nbPop_1erJanv","pauvreteExclusion","persSantePour1000Habs","pib_par_reg","pop_densite","popNivParEtude20_24","popNivParEtude25_64","tauxChomage","tauxmort_infantile","tauxRisquePauvrete","pib_hab","log_pib_hab","lit_hop_par_hab","cluster"
"Área Metropolitana de Lisboa","PT17","Portugal","Europe du Sud",2004,0.016,-0.297213,0.329213,-0.175,0.208,0.013,85.46,16.1,NA,5872,44,12501,6587,NA,9.9,96,NA,2869033,14.6,687.99,71431.52,1015.9,11.3,27.8,6.8,2.1,12.8,703.13534796732,6.55554940239357,NA,"4"
"Arnsberg","DEA5","Germany","Europe de l'Ouest",165,0.887,0.678721,1.095279,0.864,0.627,1.07,NA,6.7,NA,NA,NA,NA,NA,NA,10.7,141,NA,3571053,NA,NA,125485.53,449.1,29.2,19.9,4.3,NA,NA,2794.15564462258,7.93528524500213,NA,"3"
"Attiki","EL30","Greece","Europe du Sud",2101,-1.307,-1.673094,-0.940906,-1.056,-1.351,-1.369,NA,20.9,NA,NA,NA,NA,NA,NA,17.6,121,NA,3736737,23.2,821.55,78176.3,987.5,3,11.2,11.9,3.5,12.9,791.658734177215,6.67413040776376,NA,"3"
"Auvergne","FRK1","France","Europe de l'Ouest",1819,0.482,0.248604,0.715396,0.367,0.459,0.567,86.6,15.9,NA,NA,NA,NA,NA,10.2,12.1,44,NA,1373075,NA,312.36,37176.22,52.6,15.5,17.8,7,2.7,NA,7067.72243346008,8.86329356179411,NA,"2"
"Basilicata","ITF5","Italy","Europe du Sud",318,-1.577,-1.776005,-1.377995,-1.474,-1.802,-1.279,74.96,23.7,NA,671,7,70,476,8.3,29.2,16,NA,545130,43.8,337.28,11644.46,55.7,11.5,36.7,8.3,2.3,27.6,2090.56732495512,7.64519075547064,NA,"2"
"Basse-Normandie","FRD1","France","Europe de l'Ouest",1805,0.645,0.40403,0.88597,0.686,0.604,0.573,80.52,11.7,NA,NA,NA,NA,NA,8.9,13.9,35,NA,1463498,NA,306.43,38746.06,82.6,7.2,19.3,6.4,3.4,NA,4690.80629539952,8.45335976465975,NA,"2"
"Berlin","DE30","Germany","Europe de l'Ouest",103,0.173,-0.126272,0.472272,-0.229,0.066,0.662,NA,8.6,NA,NA,NA,NA,NA,7.5,10.6,124,NA,3664088,NA,NA,155171.67,4322.9,18.1,13.5,5.7,NA,NA,358.952716926138,5.88319067208742,NA,"3"
"Bolzano/Bozen","ITH1","Italy","Europe du Sud",305,-0.344,-0.568122,-0.119878,0.245,-0.725,-0.515,82.32,7.2,NA,NA,NA,NA,NA,7.5,12.4,15,NA,534912,11,333.43,23722.15,72.2,20.2,30.3,3.8,3.1,7.7,3285.61634349031,8.09730953690874,NA,"2"
"Bourgogne","FRC1","France","Europe de l'Ouest",1803,0.411,0.190468,0.631532,0.25,0.412,0.525,88.51,10.3,NA,NA,NA,NA,NA,9.5,14.5,56,NA,1615259,NA,297.65,45362.19,51.3,9.2,19.2,7.1,2.7,NA,8842.53216374269,9.08732855847677,NA,"4"
"Brabant Wallon","BE31","Belgium","Europe de l'Ouest",1121,0.459,0.160079,0.757921,0.239,0.237,0.85,88.68,12,NA,2334,10,434,577,6.1,12.2,11,934,408325,NA,536.88,22200.13,369.7,NA,10.7,6.8,1.7,NA,600.490397619692,6.39774665075054,2.52637273464972,"2"
